subject_id,transition,anchor_type,bin_center_minutes,mean_axis_score,n_sessions,n_trials,transition_order,transition_label,anchor_order,anchor_label
623319,restoration,real,-3.0,-0.24031448307399617,2,8,2,Reward restoration,1,Real boundary
623319,restoration,real,-1.0,-0.28283313848398633,2,10,2,Reward restoration,1,Real boundary
623319,restoration,real,1.0,-0.33454814382203907,2,3,2,Reward restoration,1,Real boundary
623319,restoration,real,3.0,-0.22616039237350233,2,7,2,Reward restoration,1,Real boundary
623319,restoration,real,5.0,-0.3628958067970318,2,3,2,Reward restoration,1,Real boundary
623322,restoration,real,-5.0,-0.32479631978666396,3,11,2,Reward restoration,1,Real boundary
623322,restoration,real,-3.0,-0.35754351237203563,3,11,2,Reward restoration,1,Real boundary
623322,restoration,real,-1.0,-0.3026878726747773,3,9,2,Reward restoration,1,Real boundary
623322,restoration,real,1.0,-0.12398327263876048,3,11,2,Reward restoration,1,Real boundary
623322,restoration,real,3.0,-0.03917391363249113,3,9,2,Reward restoration,1,Real boundary
623322,restoration,real,5.0,-0.0890137694464652,3,11,2,Reward restoration,1,Real boundary
626279,restoration,real,-5.0,-0.21139905925077412,1,2,2,Reward restoration,1,Real boundary
626279,restoration,real,-3.0,-0.396913429231784,1,3,2,Reward restoration,1,Real boundary
626279,restoration,real,-1.0,-0.27083996412704425,1,5,2,Reward restoration,1,Real boundary
626279,restoration,real,1.0,-0.43679741780731207,1,2,2,Reward restoration,1,Real boundary
626279,restoration,real,3.0,-0.1008596026012298,1,2,2,Reward restoration,1,Real boundary
626279,restoration,real,5.0,0.02518905288663871,1,3,2,Reward restoration,1,Real boundary
632295,restoration,real,-5.0,-0.23646322787294927,2,6,2,Reward restoration,1,Real boundary
632295,restoration,real,-3.0,-0.30855686262741333,2,6,2,Reward restoration,1,Real boundary
632295,restoration,real,-1.0,-0.23500522943757218,2,9,2,Reward restoration,1,Real boundary
632295,restoration,real,3.0,-0.17104311754270832,2,7,2,Reward restoration,1,Real boundary
632295,restoration,real,5.0,-0.18731170817468007,2,6,2,Reward restoration,1,Real boundary
638387,restoration,real,-5.0,-0.20850196667377094,1,3,2,Reward restoration,1,Real boundary
638387,restoration,real,-3.0,-0.29109496678746005,1,2,2,Reward restoration,1,Real boundary
638387,restoration,real,-1.0,-0.194245478852897,1,2,2,Reward restoration,1,Real boundary
638387,restoration,real,5.0,-0.14105164323509106,1,3,2,Reward restoration,1,Real boundary
640887,restoration,real,-5.0,-0.24222700570895248,2,11,2,Reward restoration,1,Real boundary
640887,restoration,real,-3.0,-0.3352618363305601,2,7,2,Reward restoration,1,Real boundary
640887,restoration,real,-1.0,-0.22928078401057175,2,6,2,Reward restoration,1,Real boundary
640887,restoration,real,1.0,0.14353020471319586,2,5,2,Reward restoration,1,Real boundary
640887,restoration,real,3.0,-0.014443854623897686,2,10,2,Reward restoration,1,Real boundary
640887,restoration,real,5.0,0.11375834439524207,2,6,2,Reward restoration,1,Real boundary
640890,restoration,real,-5.0,-0.20098815043249132,2,10,2,Reward restoration,1,Real boundary
640890,restoration,real,-3.0,-0.22558114743302282,2,8,2,Reward restoration,1,Real boundary
640890,restoration,real,-1.0,-0.25183445609845156,2,10,2,Reward restoration,1,Real boundary
640890,restoration,real,1.0,-0.09060500378659483,2,6,2,Reward restoration,1,Real boundary
640890,restoration,real,3.0,-0.09701983994872523,2,10,2,Reward restoration,1,Real boundary
640890,restoration,real,5.0,0.06483947740329098,2,4,2,Reward restoration,1,Real boundary
642504,restoration,real,-5.0,-0.32344433183900284,3,9,2,Reward restoration,1,Real boundary
642504,restoration,real,-3.0,-0.28425118771911534,3,11,2,Reward restoration,1,Real boundary
642504,restoration,real,-1.0,-0.318779985831094,3,12,2,Reward restoration,1,Real boundary
642504,restoration,real,1.0,0.02194570519679767,3,8,2,Reward restoration,1,Real boundary
642504,restoration,real,3.0,-0.09197370941192638,3,11,2,Reward restoration,1,Real boundary
642504,restoration,real,5.0,-0.08971310230737106,3,9,2,Reward restoration,1,Real boundary
614547,restoration,pseudo,-5.0,-0.34067714515680697,1,5,2,Reward restoration,2,Within-state pseudo-boundary
614547,restoration,pseudo,-3.0,-0.23964025870484454,1,6,2,Reward restoration,2,Within-state pseudo-boundary
614547,restoration,pseudo,-1.0,-0.07807777391797212,1,4,2,Reward restoration,2,Within-state pseudo-boundary
614547,restoration,pseudo,1.0,-0.18340513643846226,1,3,2,Reward restoration,2,Within-state pseudo-boundary
614547,restoration,pseudo,3.0,-0.2312207603601466,1,3,2,Reward restoration,2,Within-state pseudo-boundary
614547,restoration,pseudo,5.0,-0.2494514491798199,1,7,2,Reward restoration,2,Within-state pseudo-boundary
614608,restoration,pseudo,-5.0,-0.24648109967029103,2,9,2,Reward restoration,2,Within-state pseudo-boundary
614608,restoration,pseudo,-3.0,-0.15852585188157806,2,9,2,Reward restoration,2,Within-state pseudo-boundary
614608,restoration,pseudo,-1.0,-0.26192337695050527,2,8,2,Reward restoration,2,Within-state pseudo-boundary
614608,restoration,pseudo,1.0,-0.2780224143642449,2,10,2,Reward restoration,2,Within-state pseudo-boundary
614608,restoration,pseudo,3.0,-0.26975823858480796,2,11,2,Reward restoration,2,Within-state pseudo-boundary
614608,restoration,pseudo,5.0,-0.22446869311759754,2,10,2,Reward restoration,2,Within-state pseudo-boundary
615048,restoration,pseudo,-5.0,-0.10064533852818797,2,6,2,Reward restoration,2,Within-state pseudo-boundary
615048,restoration,pseudo,-3.0,-0.2902214161605885,2,9,2,Reward restoration,2,Within-state pseudo-boundary
615048,restoration,pseudo,-1.0,-0.23453037373222219,2,8,2,Reward restoration,2,Within-state pseudo-boundary
615048,restoration,pseudo,1.0,-0.16397616151342642,2,6,2,Reward restoration,2,Within-state pseudo-boundary
615048,restoration,pseudo,3.0,-0.14061606708877636,2,7,2,Reward restoration,2,Within-state pseudo-boundary
615048,restoration,pseudo,5.0,-0.19891775062228162,2,7,2,Reward restoration,2,Within-state pseudo-boundary
615564,restoration,pseudo,-5.0,-0.2998686346957629,2,4,2,Reward restoration,2,Within-state pseudo-boundary
615564,restoration,pseudo,-3.0,-0.11658233765213291,2,4,2,Reward restoration,2,Within-state pseudo-boundary
615564,restoration,pseudo,-1.0,-0.2623894833061894,2,6,2,Reward restoration,2,Within-state pseudo-boundary
615564,restoration,pseudo,1.0,-0.10367753535024199,2,4,2,Reward restoration,2,Within-state pseudo-boundary
615564,restoration,pseudo,3.0,-0.3644619506745659,2,5,2,Reward restoration,2,Within-state pseudo-boundary
615564,restoration,pseudo,5.0,-0.27152689346913517,2,9,2,Reward restoration,2,Within-state pseudo-boundary
623319,restoration,pseudo,-5.0,-0.3182342367562878,2,9,2,Reward restoration,2,Within-state pseudo-boundary
623319,restoration,pseudo,-3.0,-0.13733947133623153,2,8,2,Reward restoration,2,Within-state pseudo-boundary
623319,restoration,pseudo,-1.0,-0.15142027021671733,2,8,2,Reward restoration,2,Within-state pseudo-boundary
623319,restoration,pseudo,1.0,-0.22253635300136843,2,10,2,Reward restoration,2,Within-state pseudo-boundary
623319,restoration,pseudo,3.0,-0.19360979369531642,2,5,2,Reward restoration,2,Within-state pseudo-boundary
623319,restoration,pseudo,5.0,-0.24874110135376198,2,9,2,Reward restoration,2,Within-state pseudo-boundary
623322,restoration,pseudo,-5.0,-0.1589267258830503,2,6,2,Reward restoration,2,Within-state pseudo-boundary
623322,restoration,pseudo,-3.0,-0.15926866883277446,3,7,2,Reward restoration,2,Within-state pseudo-boundary
623322,restoration,pseudo,-1.0,-0.20830818178128865,3,11,2,Reward restoration,2,Within-state pseudo-boundary
623322,restoration,pseudo,1.0,-0.36166604348043774,3,6,2,Reward restoration,2,Within-state pseudo-boundary
623322,restoration,pseudo,3.0,-0.25406921442974484,3,14,2,Reward restoration,2,Within-state pseudo-boundary
623322,restoration,pseudo,5.0,-0.34646079232597193,3,11,2,Reward restoration,2,Within-state pseudo-boundary
626279,restoration,pseudo,-5.0,-0.1359787380113518,1,5,2,Reward restoration,2,Within-state pseudo-boundary
626279,restoration,pseudo,-3.0,-0.1128934550480643,1,2,2,Reward restoration,2,Within-state pseudo-boundary
626279,restoration,pseudo,-1.0,-0.2054134066399997,1,3,2,Reward restoration,2,Within-state pseudo-boundary
626279,restoration,pseudo,1.0,-0.30262189056384015,1,4,2,Reward restoration,2,Within-state pseudo-boundary
626279,restoration,pseudo,3.0,-0.4474717586934187,1,4,2,Reward restoration,2,Within-state pseudo-boundary
626279,restoration,pseudo,5.0,-0.28179750969245965,1,6,2,Reward restoration,2,Within-state pseudo-boundary
632295,restoration,pseudo,-5.0,-0.1538189308957307,2,4,2,Reward restoration,2,Within-state pseudo-boundary
632295,restoration,pseudo,-3.0,-0.3074607945539876,2,7,2,Reward restoration,2,Within-state pseudo-boundary
632295,restoration,pseudo,-1.0,-0.34576865340215096,2,7,2,Reward restoration,2,Within-state pseudo-boundary
632295,restoration,pseudo,1.0,-0.2481974129072929,2,10,2,Reward restoration,2,Within-state pseudo-boundary
632295,restoration,pseudo,3.0,-0.26086264676972026,2,6,2,Reward restoration,2,Within-state pseudo-boundary
632295,restoration,pseudo,5.0,-0.36732864742453974,2,8,2,Reward restoration,2,Within-state pseudo-boundary
638387,restoration,pseudo,-3.0,-0.011147429101337081,1,1,2,Reward restoration,2,Within-state pseudo-boundary
638387,restoration,pseudo,-1.0,-0.20603190765246993,1,3,2,Reward restoration,2,Within-state pseudo-boundary
638387,restoration,pseudo,1.0,-0.129759372182636,1,2,2,Reward restoration,2,Within-state pseudo-boundary
638387,restoration,pseudo,3.0,-0.23461163777189348,1,5,2,Reward restoration,2,Within-state pseudo-boundary
638387,restoration,pseudo,5.0,-0.18749952564664268,1,2,2,Reward restoration,2,Within-state pseudo-boundary
