subject_id,behavior_block,block_order,response_probability,n_sessions_response_contributing,n_responses,n_go_trials,false_alarm_probability,n_sessions_false_alarm_contributing,n_false_alarms,n_catch_trials,dprime,n_sessions_dprime_contributing,n_sessions_inventory,n_sessions_in_cohort,session_cohort,aggregation_method,n_sessions_contributing
636740,engaged_2_late,4,0.5200367647058823,4,68,138,0.011363636363636364,4,1,85,1.782995045649181,4,4,4,technically_valid,equal_session_mean,4
636740,engaged_1,1,0.7446808510638298,1,35,47,0.1,1,3,30,1.8532935061978462,1,4,1,threshold_selected,equal_session_mean,1
636740,no_reward_late,2,0.05263157894736842,1,2,38,0.0,1,0,26,0.5641375196058946,1,4,1,threshold_selected,equal_session_mean,1
636740,engaged_2_early,3,0.5849056603773585,1,31,53,0.13333333333333333,1,4,30,1.2678426227343058,1,4,1,threshold_selected,equal_session_mean,1
636740,engaged_2_late,4,0.6176470588235294,1,21,34,0.0,1,0,21,2.290930340229373,1,4,1,threshold_selected,equal_session_mean,1
637483,engaged_1,1,0.9244444444444445,3,126,137,0.02482758620689655,3,2,85,3.347231836712398,3,3,3,technically_valid,equal_session_mean,3
637483,no_reward_late,2,0.2689417989417989,3,27,96,0.05882352941176471,3,3,63,1.0305529838132024,3,3,3,technically_valid,equal_session_mean,3
637483,engaged_2_early,3,0.9414405684754522,3,128,136,0.16131091131091133,3,14,87,2.4376689284839608,3,3,3,technically_valid,equal_session_mean,3
637483,engaged_2_late,4,0.8945115405260333,3,82,90,0.09563492063492063,3,5,52,2.4843604369687937,3,3,3,technically_valid,equal_session_mean,3
637483,engaged_1,1,0.9333333333333333,1,42,45,0.034482758620689655,1,1,29,3.076748488472031,1,3,1,threshold_selected,equal_session_mean,1
637483,no_reward_late,2,0.16,1,4,25,0.17647058823529413,1,3,17,-0.0804416548216037,1,3,1,threshold_selected,equal_session_mean,1
637483,engaged_2_early,3,0.9375,1,45,48,0.15151515151515152,1,5,33,2.4524647846756977,1,3,1,threshold_selected,equal_session_mean,1
637483,engaged_2_late,4,0.975,1,39,40,0.09523809523809523,1,2,21,2.999178337600717,1,3,1,threshold_selected,equal_session_mean,1
637488,engaged_1,1,0.2313690476190476,4,46,215,0.04205851619644723,4,5,132,0.7691856035853535,4,4,4,technically_valid,equal_session_mean,4
637488,no_reward_late,2,0.03048780487804878,4,5,167,0.009259259259259259,4,1,100,-0.035543954346927475,4,4,4,technically_valid,equal_session_mean,4
637488,engaged_2_early,3,0.15542058516196447,4,35,235,0.015151515151515152,4,2,144,0.6761531895672328,4,4,4,technically_valid,equal_session_mean,4
637488,engaged_2_late,4,0.1630952380952381,4,23,162,0.023809523809523808,4,2,97,0.34776453267352975,4,4,4,technically_valid,equal_session_mean,4
637488,engaged_1,1,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
637488,no_reward_late,2,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
637488,engaged_2_early,3,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
637488,engaged_2_late,4,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
638387,engaged_1,1,0.5573500967117988,4,99,179,0.0722320463699774,4,8,110,1.6034100640879734,4,4,4,technically_valid,equal_session_mean,4
638387,no_reward_late,2,0.25464644051600577,4,27,121,0.030330882352941176,4,2,74,0.8696773803182276,4,4,4,technically_valid,equal_session_mean,4
638387,engaged_2_early,3,0.5076073232323233,4,77,158,0.055792297979797977,4,5,98,1.5712503801718434,4,4,4,technically_valid,equal_session_mean,4
638387,engaged_2_late,4,0.5419510412860796,4,57,103,0.12465659340659341,4,7,61,1.2630769903161474,4,4,4,technically_valid,equal_session_mean,4
638387,engaged_1,1,0.7021276595744681,1,33,47,0.07407407407407407,1,2,27,1.863584622615892,1,4,1,threshold_selected,equal_session_mean,1
638387,no_reward_late,2,0.038461538461538464,1,1,26,0.0625,1,1,16,-0.2415165780923889,1,4,1,threshold_selected,equal_session_mean,1
638387,engaged_2_early,3,0.6333333333333333,1,19,30,0.05555555555555555,1,1,18,1.741478925884286,1,4,1,threshold_selected,equal_session_mean,1
638387,engaged_2_late,4,0.42857142857142855,1,9,21,0.23076923076923078,1,3,13,0.50274266055857,1,4,1,threshold_selected,equal_session_mean,1
